      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
          0 |       1056 | Rdr |26                                                                       |     | REQA
       2228 |       4596 | Tag |44  00                                                                   |     | 
      11648 |      14112 | Rdr |93  20                                                                   |     | ANTICOLL
      15284 |      21172 | Tag |88  04  25  70  d9                                                       |     | 
      28144 |      38608 | Rdr |93  70  88  04  25  70  d9  0b  fa                                       |  ok | SELECT_UID
      39844 |      43364 | Tag |04  da  17                                                               |     | 
      50398 |      52862 | Rdr |95  20                                                                   |     | ANTICOLL-2
      54034 |      59922 | Tag |6a  4b  68  81  c8                                                       |     | 
      66894 |      77358 | Rdr |95  70  6a  4b  68  81  c8  37  a6                                       |  ok | SELECT_UID-2
      78594 |      82178 | Tag |00  fe  51                                                               |     | 
     112944 |     117648 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
     121252 |     142116 | Tag |c8  48  00  00  e1  10  3e  00  03  00  fe  00  00  00  00  00  e9  cb   |  ok | 
     164002 |     168770 | Rdr |1a  00  41  76                                                           |  ok | AUTH 
    4256162 |    4260930 | Rdr |50  00  57  cd                                                           |  ok | HALT
    4324666 |    4325658 | Rdr |52                                                                       |     | WUPA
    4326894 |    4329262 | Tag |44  00                                                                   |     | 
    4336312 |    4346776 | Rdr |93  70  88  04  25  70  d9  0b  fa                                       |  ok | SELECT_UID
    4348012 |    4351532 | Tag |04  da  17                                                               |     | 
    4358584 |    4369048 | Rdr |95  70  6a  4b  68  81  c8  37  a6                                       |  ok | SELECT_UID-2
    4370284 |    4373868 | Tag |00  fe  51                                                               |     | 
    4412674 |    4416290 | Rdr |60  f8  32                                                               |  ok | EV1 VERSION
    4417462 |    4429110 | Tag |00  04  04  02  01  00  11  03  01  9e                                   |  ok | 
    4474050 |    4478818 | Rdr |50  00  57  cd                                                           |  ok | HALT
    4513614 |    4514606 | Rdr |52                                                                       |     | WUPA
    4515842 |    4518210 | Tag |44  00                                                                   |     | 
    4525262 |    4535726 | Rdr |93  70  88  04  25  70  d9  0b  fa                                       |  ok | SELECT_UID
    4536962 |    4540482 | Tag |04  da  17                                                               |     | 
    4547534 |    4557998 | Rdr |95  70  6a  4b  68  81  c8  37  a6                                       |  ok | SELECT_UID-2
    4559234 |    4562818 | Tag |00  fe  51                                                               |     | 
    4585364 |    4590068 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
    4593736 |    4614600 | Tag |c8  48  00  00  e1  10  3e  00  03  00  fe  00  00  00  00  00  e9  cb   |  ok | 
    4633586 |    4638290 | Rdr |30  04  26  ee                                                           |  ok | READBLOCK(4)
    4641958 |    4662758 | Tag |03  00  fe  00  00  00  00  00  00  00  00  00  00  00  00  00  c1  84   |  ok | 
    4736210 |    4740978 | Rdr |50  00  57  cd                                                           |  ok | HALT

