      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
          0 |       1056 | Rdr |26                                                                       |     | REQA
       2228 |       4596 | Tag |44  00                                                                   |     |
      15284 |      21172 | Tag |88  04  25  70  d9                                                       |     |
      28144 |      38608 | Rdr |93  70  88  04  25  70  d9  0b  fa                                       |  ok | SELECT_UID
      39860 |      43380 | Tag |04  da  17                                                               |     |
      50416 |      52880 | Rdr |95  20                                                                   |     | ANTICOLL-2
      54068 |      59956 | Tag |6a  4b  68  81  c8                                                       |     |
      66928 |      77392 | Rdr |95  70  6a  4b  68  81  c8  37  a6                                       |  ok | SELECT_UID-2
      78644 |      82228 | Tag |00  fe  51                                                               |     |
     113536 |     118240 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
     121796 |     142660 | Tag |c8  48  00  00  e1  10  3e  00  03  00  fe  00  00  00  00  00  e9  cb   |  ok |
     163904 |     168672 | Rdr |1a  00  41  76                                                           |  ok | AUTH
    4328384 |    4329376 | Rdr |52                                                                       |     | WUPA
    4330628 |    4332996 | Tag |44  00                                                                   |     |
    4340032 |    4350496 | Rdr |93  70  88  04  25  70  d9  0b  fa                                       |  ok | SELECT_UID
    4351732 |    4355252 | Tag |04  da  17                                                               |     |
    4374004 |    4377588 | Tag |00  fe  51                                                               |     |
    4417840 |    4421456 | Rdr |60  f8  32                                                               |  ok | EV1 VERSION
    4424436 |    4436084 | Tag |00  04  04  02  01  00  11  03  01  9e                                   |  ok |
    4479968 |    4484736 | Rdr |50  00  57  cd                                                           |  ok | HALT
    4520096 |    4521088 | Rdr |52                                                                       |     | WUPA
    4522340 |    4524708 | Tag |44  00                                                                   |     |
    4531744 |    4542208 | Rdr |93  70  88  04  25  70  d9  0b  fa                                       |  ok | SELECT_UID
    4543460 |    4546980 | Tag |04  da  17                                                               |     |
    4554016 |    4564480 | Rdr |95  70  6a  4b  68  81  c8  37  a6                                       |  ok | SELECT_UID-2
    4565732 |    4569316 | Tag |00  fe  51                                                               |     |
    4594816 |    4599520 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
    4602948 |    4623812 | Tag |c8  48  00  00  e1  10  3e  00  03  00  fe  00  00  00  00  00  e9  cb   |  ok |
    4648208 |    4648624 | Rdr |00!                                                                      |     |
    4652036 |    4672836 | Tag |03  00  fe  00  00  00  00  00  00  00  00  00  00  00  00  00  c1  84   |  ok |
    4742160 |    4746928 | Rdr |50  00  57  cd                                                           |  ok | HALT
