      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
  193944576 |  193945632 | Rdr |26                                                                       |     | REQA
  193946820 |  193949188 | Tag |44  00                                                                   |     |
  193956224 |  193958688 | Rdr |93  20                                                                   |     | ANTICOLL
  193959876 |  193965764 | Tag |88  04  25  70  d9                                                       |     |
  193972720 |  193983184 | Rdr |93  70  88  04  25  70  d9  0b  fa                                       |  ok | SELECT_UID
  193984436 |  193987956 | Tag |04  da  17                                                               |     |
  193994992 |  193997456 | Rdr |95  20                                                                   |     | ANTICOLL-2
  193998644 |  194004532 | Tag |6a  4b  68  81  c8                                                       |     |
  194011504 |  194021968 | Rdr |95  70  6a  4b  68  81  c8  37  a6                                       |  ok | SELECT_UID-2
  194023220 |  194026804 | Tag |00  fe  51                                                               |     |
  194054432 |  194059136 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
  194062692 |  194083556 | Tag |c8  48  00  00  e1  10  3e  00  03  00  fe  00  00  00  00  00  e9  cb   |  ok |
  194104432 |  194109200 | Rdr |1a  00  41  76                                                           |  ok | AUTH
  198198464 |  198203232 | Rdr |50  00  57  cd                                                           |  ok | HALT
  198265472 |  198266464 | Rdr |52                                                                       |     | WUPA
  198267716 |  198270084 | Tag |44  00                                                                   |     |
  198277120 |  198287584 | Rdr |93  70  88  04  25  70  d9  0b  fa                                       |  ok | SELECT_UID
  198288836 |  198292356 | Tag |04  da  17                                                               |     |
  198299392 |  198309856 | Rdr |95  70  6a  4b  68  81  c8  37  a6                                       |  ok | SELECT_UID-2
  198311108 |  198314692 | Tag |00  fe  51                                                               |     |
  198351888 |  198356592 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
  198360020 |  198380884 | Tag |c8  48  00  00  e1  10  3e  00  03  00  fe  00  00  00  00  00  e9  cb   |  ok |
  198417456 |  198422160 | Rdr |30  03  99  9a                                                           |  ok | READBLOCK(3)
  198425588 |  198446452 | Tag |e1  10  3e  00  03  00  fe  00  00  00  00  00  00  00  00  00  cc  85   |  ok |
  198486336 |  198491040 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
  198494468 |  198515332 | Tag |c8  48  00  00  e1  10  3e  00  03  00  fe  00  00  00  00  00  e9  cb   |  ok |
  198555280 |  198564656 | Rdr |a2  03  e1  10  3f  00  25  ba                                           |  ok | WRITEBLOCK(3)
  198640852 |  198641428 | Tag |0a!                                                                      |     |
  198677856 |  198682560 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
  198685988 |  198706788 | Tag |c8  48  00  00  e1  10  3f  00  03  00  fe  00  00  00  00  00  ce  e7   |  ok |
  198746400 |  198755712 | Rdr |a2  04  03  03  d8  00  65  c9                                           |  ok | WRITEBLOCK(4)
  198831972 |  198832548 | Tag |0a!                                                                      |     |
  198868576 |  198873280 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
  198876708 |  198897508 | Tag |c8  48  00  00  e1  10  3f  00  03  03  d8  00  00  00  00  00  3a  d2   |  ok |
  198937936 |  198947248 | Rdr |a2  05  00  fe  00  00  5c  05                                           |  ok | WRITEBLOCK(5)
  199023508 |  199024084 | Tag |0a!                                                                      |     |
  199059744 |  199064448 | Rdr |30  03  99  9a                                                           |  ok | READBLOCK(3)
  199067876 |  199088676 | Tag |e1  10  3f  00  03  03  d8  00  00  fe  00  00  00  00  00  00  82  50   |  ok |
  199128464 |  199133168 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
  199136596 |  199157396 | Tag |c8  48  00  00  e1  10  3f  00  03  03  d8  00  00  fe  00  00  15  4e   |  ok |
  199193760 |  199198464 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
  199201892 |  199222692 | Tag |c8  48  00  00  e1  10  3f  00  03  03  d8  00  00  fe  00  00  15  4e   |  ok |
  199256752 |  199266128 | Rdr |a2  04  03  04  d8  00  60  45                                           |  ok | WRITEBLOCK(4)
  199342324 |  199342900 | Tag |0a!                                                                      |     |
  199376880 |  199386256 | Rdr |a2  05  00  00  fe  00  6b  7f                                           |  ok | WRITEBLOCK(5)
  199462452 |  199463028 | Tag |0a!                                                                      |     |
  199511760 |  199516528 | Rdr |50  00  57  cd                                                           |  ok | HALT
