      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
          0 |        192 | Tag |01                                                                       |     |
     635856 |     636240 | Tag |01                                                                       |     |
   63986320 |   63988688 | Tag |44  00                                                                   |     |
   63999376 |   64005264 | Tag |88  04  91  2f  32                                                       |     |
   64023968 |   64027488 | Tag |04  da  17                                                               |     |
   64038176 |   64044064 | Tag |d2  d5  64  80  e3                                                       |     |
   64062768 |   64066352 | Tag |00  fe  51                                                               |     |
   64150656 |   64171520 | Tag |c8  48  00  00  e1  10  3e  00  03  00  fe  00  00  00  00  00  e9  cb   |  ok |
   68286780 |   68291548 | Rdr |50  00  57  cd                                                           |  ok | HALT
   68357004 |   68357996 | Rdr |52                                                                       |     | WUPA
   68359248 |   68361616 | Tag |44  00                                                                   |     |
   68368652 |   68379180 | Rdr |93  70  88  04  91  2f  32  ca  1a                                       |  ok | SELECT_UID
   68380368 |   68383888 | Tag |04  da  17                                                               |     |
   68390924 |   68401452 | Rdr |95  70  d2  d5  64  80  e3  b4  c1                                       |  ok | SELECT_UID-2
   68402640 |   68406224 | Tag |00  fe  51                                                               |     |
   68445308 |   68448924 | Rdr |60  f8  32                                                               |  ok | EV1 VERSION
   68482288 |   68493936 | Tag |00  04  04  02  01  00  11  03  01  9e                                   |  ok |
   68538572 |   68543340 | Rdr |50  00  57  cd                                                           |  ok | HALT
   68578156 |   68579148 | Rdr |52                                                                       |     | WUPA
   68580416 |   68582784 | Tag |44  00                                                                   |     |
   68589820 |   68600348 | Rdr |93  70  88  04  91  2f  32  ca  1a                                       |  ok | SELECT_UID
   68601536 |   68605056 | Tag |04  da  17                                                               |     |
   68612092 |   68622620 | Rdr |95  70  d2  d5  64  80  e3  b4  c1                                       |  ok | SELECT_UID-2
   68623808 |   68627392 | Tag |00  fe  51                                                               |     |
   68650476 |   68655180 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
   68697008 |   68697648 | Tag |00!                                                                      |     |
   68765820 |   68770588 | Rdr |50  00  57  cd                                                           |  ok | HALT
