      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
  216408432 |  216410800 | Tag |44  00                                                                   |     |
  216417836 |  216420300 | Rdr |93  20                                                                   |     | ANTICOLL
  216421504 |  216427392 | Tag |88  04  91  2f  32                                                       |     |
  216446080 |  216449600 | Tag |04  da  17                                                               |     |
  216456636 |  216459100 | Rdr |95  20                                                                   |     | ANTICOLL-2
  216460288 |  216466176 | Tag |d2  d5  64  80  e3                                                       |     |
  216484880 |  216488464 | Tag |00  fe  51                                                               |     |
  216569712 |  216590576 | Tag |c8  48  00  00  e1  10  3e  00  03  00  fe  00  00  00  00  00  e9  cb   |  ok |
  216610204 |  216614972 | Rdr |1a  00  41  76                                                           |  ok | AUTH
  220704716 |  220709484 | Rdr |50  00  57  cd                                                           |  ok | HALT
  220766844 |  220767836 | Rdr |52                                                                       |     | WUPA
  220769088 |  220771456 | Tag |44  00                                                                   |     |
  220778508 |  220789036 | Rdr |93  70  88  04  91  2f  32  ca  1a                                       |  ok | SELECT_UID
  220790224 |  220793744 | Tag |04  da  17                                                               |     |
  220800780 |  220811308 | Rdr |95  70  d2  d5  64  80  e3  b4  c1                                       |  ok | SELECT_UID-2
  220812496 |  220816080 | Tag |00  fe  51                                                               |     |
  220856652 |  220861356 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
  220915504 |  220936368 | Tag |c8  48  00  00  e1  10  3e  00  03  00  fe  00  00  00  00  00  e9  cb   |  ok |
  220974796 |  220979500 | Rdr |30  03  99  9a                                                           |  ok | READBLOCK(3)
  221029056 |  221049920 | Tag |e1  10  3e  00  03  00  fe  00  00  00  00  00  00  00  00  00  cc  85   |  ok |
  221089980 |  221094684 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
  221144160 |  221165024 | Tag |c8  48  00  00  e1  10  3e  00  03  00  fe  00  00  00  00  00  e9  cb   |  ok |
  221202796 |  221212172 | Rdr |a2  03  e1  10  3f  00  25  ba                                           |  ok | WRITEBLOCK(3)
  225321500 |  225326204 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
  225375712 |  225396576 | Tag |c8  48  00  00  e1  10  3e  00  e3  10  ff  00  00  00  00  00  e8  62   |  ok |
  225435868 |  225445180 | Rdr |a2  04  03  03  d8  00  65  c9                                           |  ok | WRITEBLOCK(4)
  229548572 |  229553276 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
  229602768 |  229623632 | Tag |c8  48  00  00  e1  10  3e  00  03  03  d8  00  00  00  00  00  1d  fe   |  ok |
  229662636 |  229671948 | Rdr |a2  05  00  fe  00  00  5c  05                                           |  ok | WRITEBLOCK(5)
  233777020 |  233781724 | Rdr |30  03  99  9a                                                           |  ok | READBLOCK(3)
  233831040 |  233851840 | Tag |e1  10  3e  00  03  03  d8  00  00  fe  00  00  00  00  00  00  68  2e   |  ok |
  233913212 |  233917916 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
  233967408 |  233988272 | Tag |c8  48  00  00  e1  10  3e  00  03  03  d8  00  00  fe  00  00  32  62   |  ok |
  234017164 |  234021868 | Rdr |30  02  10  8b                                                           |  ok | READBLOCK(2)
  234071232 |  234092096 | Tag |c8  48  00  00  e1  10  3e  00  03  03  d8  00  00  fe  00  00  32  62   |  ok |
  234122140 |  234131516 | Rdr |a2  04  03  04  d8  00  60  45                                           |  ok | WRITEBLOCK(4)
  238237052 |  238246428 | Rdr |a2  05  00  00  fe  00  6b  7f                                           |  ok | WRITEBLOCK(5)
  242367676 |  242372444 | Rdr |50  00  57  cd                                                           |  ok | HALT
